Line,Period,Date,Punctuality
Newcastle,Month,August 2019,82.8%
Newcastle,Month,July 2019,84.1%
Newcastle,Month,June 2019,87.8%
Newcastle,Month,May 2019,89.8%
Newcastle,Month,April 2019,90.1%
Newcastle,Month,March 2019,84.0%
Newcastle,Month,February 2019,89.3%
Newcastle,Month,January 2019,87.4%
Newcastle,Month,December 2018,85.5%
Newcastle,Month,November 2018,84.2%
Newcastle,Month,October 2018,90.1%
Newcastle,Month,September 2018,90.5%
Newcastle,Month,August 2018,92.3%
Newcastle,Month,July 2018,89.8%
Newcastle,Year,FY 2025,68.7%
Newcastle,Year,FY 2024,78.9%
Newcastle,Year,FY 2023,77.1%
Newcastle,Year,FY 2022,96.2%
Newcastle,Year,FY 2021,88.8%
Newcastle,Year,FY 2020,84.7%
Newcastle,Year,FY 2019,88.5%
South Coast,Month,August 2025,80.8%
South Coast,Month,July 2025,70.9%
South Coast,Month,June 2025,80.5%
South Coast,Month,May 2025,75.0%
South Coast,Month,April 2025,72.6%
South Coast,Month,March 2025,66.2%
South Coast,Month,February 2025,78.0%
South Coast,Month,January 2025,73.0%
South Coast,Month,December 2024,74.4%
South Coast,Month,November 2024,63.3%
South Coast,Month,October 2024,90.9%
South Coast,Month,September 2024,82.9%
South Coast,Month,August 2024,80.4%
South Coast,Month,July 2024,73.7%
South Coast,Month,June 2024,87.5%
South Coast,Month,May 2024,82.2%
South Coast,Month,April 2024,89.1%
South Coast,Month,March 2024,76.8%
South Coast,Month,February 2024,78.4%
South Coast,Month,January 2024,79.0%
South Coast,Month,December 2023,71.4%
South Coast,Month,November 2023,81.0%
South Coast,Month,October 2023,84.6%
South Coast,Month,September 2023,52.2%
South Coast,Month,August 2023,48.8%
South Coast,Month,July 2023,86.5%
South Coast,Month,June 2023,92.8%
South Coast,Month,May 2023,89.5%
South Coast,Month,April 2023,89.3%
South Coast,Month,March 2023,88.9%
South Coast,Month,February 2023,97.7%
South Coast,Month,January 2023,96.2%
South Coast,Month,December 2022,90.8%
South Coast,Month,November 2022,81.9%
South Coast,Month,October 2022,86.9%
South Coast,Month,September 2022,90.0%
South Coast,Month,August 2022,83.5%
South Coast,Month,July 2022,90.8%
South Coast,Month,June 2022,90.0%
South Coast,Month,May 2022,94.3%
South Coast,Month,April 2022,84.0%
South Coast,Month,March 2022,92.9%
South Coast,Month,February 2022,88.4%
South Coast,Month,January 2022,93.1%
South Coast,Month,December 2021,90.4%
South Coast,Month,November 2021,95.7%
South Coast,Month,October 2021,96.9%
South Coast,Month,September 2021,97.3%
South Coast,Month,August 2021,94.3%
South Coast,Month,July 2021,81.8%
South Coast,Month,June 2021,91.0%
South Coast,Month,May 2021,90.8%
South Coast,Month,April 2021,92.4%
South Coast,Month,March 2021,90.9%
South Coast,Month,February 2021,89.0%
South Coast,Month,January 2021,93.2%
South Coast,Month,December 2020,91.7%
South Coast,Month,November 2020,90.3%
South Coast,Month,October 2020,90.2%
South Coast,Month,September 2020,92.4%
South Coast,Month,August 2020,90.5%
South Coast,Month,July 2020,95.5%
South Coast,Month,June 2020,94.5%
South Coast,Month,May 2020,92.2%
South Coast,Month,April 2020,90.7%
South Coast,Month,March 2020,96.4%
South Coast,Month,February 2020,95.3%
South Coast,Month,January 2020,95.7%
South Coast,Month,December 2019,94.3%
South Coast,Year,FY 2025,76.4%
South Coast,Year,FY 2024,86.0%
South Coast,Year,FY 2023,81.5%
South Coast,Year,FY 2022,84.1%
South Coast,Year,FY 2021,88.8%
South Coast,Year,FY 2020,92.1%
South Coast,Year,FY 2019,93.2%
Blue Mountains,Month,August 2025,69.3%
Blue Mountains,Month,July 2025,62.9%
Blue Mountains,Month,June 2025,66.8%
Blue Mountains,Month,May 2025,54.3%
Blue Mountains,Month,April 2025,66.9%
Blue Mountains,Month,March 2025,63.6%
Blue Mountains,Month,February 2025,70.8%
Blue Mountains,Month,January 2025,59.0%
Blue Mountains,Month,December 2024,57.9%
Blue Mountains,Month,November 2024,64.2%
Blue Mountains,Month,October 2024,82.9%
Blue Mountains,Month,September 2024,75.8%
Blue Mountains,Month,August 2024,84.0%
Blue Mountains,Month,July 2024,74.1%
Blue Mountains,Month,June 2024,75.7%
Blue Mountains,Month,May 2024,71.3%
Blue Mountains,Month,April 2024,69.8%
Blue Mountains,Month,March 2024,71.2%
Blue Mountains,Month,February 2024,74.5%
